Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
03-SEP-2026,CLEANMAX,Clean Max Enviro En Sol L,SBI LIFE INSURANCE COMPANY LTD.,BUY,509485,1220.0
03-SEP-2026,CLEANMAX,Clean Max Enviro En Sol L,MAHINDRA MANULIFE MUTUAL FUND,BUY,204919,1220.0
03-SEP-2026,CLEANMAX,Clean Max Enviro En Sol L,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LTD,BUY,509485,1220.0
03-SEP-2026,CLEANMAX,Clean Max Enviro En Sol L,DSP INDIA FUND INDIA LONG SHORT STRATEGY FUND WITH CASH MANAGEMENT OPTION,BUY,204919,1220.0
03-SEP-2026,CLEANMAX,Clean Max Enviro En Sol L,WHITEOAK CAPITAL MUTUAL FUND,BUY,204919,1220.0
03-SEP-2026,KRT,Knowledge Realty Trust,MEERA  GOYAL,BUY,2831050,109.5
03-SEP-2026,MEESHO,Meesho Limited,FIDELITY CENTRAL INVESTMENTS PORTFOLIO LLC: FIDELITY EMERGING MARKETS EQUITY CENTRAL FUND,BUY,331100,206.3
03-SEP-2026,MEESHO,Meesho Limited,FGTFEBPFIAM EMERGING MARKETS OPPORTUNITIES COMMINGLED POOL,BUY,913300,206.3
03-SEP-2026,MEESHO,Meesho Limited,FIDELITY EMERGING MARKETS OPPORTUNITIES INSTITUTIONAL TRUST,BUY,84700,206.3
03-SEP-2026,MEESHO,Meesho Limited,FIDELITY INVESTMENT TRUST FIDELITY FIDELITY SERIES EMERGING MARKETS FUND,BUY,3072600,206.3
03-SEP-2026,MEESHO,Meesho Limited,FIDELITY RUTLAND SQUARE TRUST II: STRATEGIC ADVISERS EMERGING MARKETS FUND,BUY,58600,206.3
03-SEP-2026,MEESHO,Meesho Limited,FIDELITY RUTLAND SQUARE TRUST II: STRATEGIC ADVISERS FID EMG MARKETS FUND,BUY,114400,206.3
