SYMBOL,oi,oi_chg,oi_chg_pct
360ONE,4127000,-29500,-0.7
ABB,2214875,-18000,-0.8
ABCAPITAL,37798300,1320600,3.6
ADANIENSOL,19560825,326025,1.7
ADANIENT,16369275,-211047,-1.3
ADANIGREEN,26938200,-130800,-0.5
ADANIPORTS,23583750,161500,0.7
ADANIPOWER,164737750,1320600,0.8
ALKEM,1422500,23250,1.7
AMBER,1252800,7300,0.6
AMBUJACEM,82599600,555600,0.7
ANGELONE,29242500,1127500,4.0
APLAPOLLO,6312250,978600,18.3
APOLLOHOSP,2316625,24750,1.1
ASHOKLEY,148450000,-2930000,-1.9
ASIANPAINT,8820250,-49750,-0.6
ASTRAL,7357600,-144500,-1.9
AUBANK,24560000,171000,0.7
AUROPHARMA,10134300,143000,1.4
AXISBANK,88885000,376875,0.4
BAJAJ-AUTO,1930725,-26100,-1.3
BAJAJFINSV,9878100,-458550,-4.4
BAJAJHLDNG,357225,12750,3.7
BAJFINANCE,67924500,-4394250,-6.1
BANDHANBNK,136749600,1040400,0.8
BANKBARODA,136372275,1197787,0.9
BANKINDIA,99897200,-1565200,-1.5
BDL,7655525,-43563,-0.6
BEL,122477325,514424,0.4
BHARATFORG,7659500,-9000,-0.1
BHARTIARTL,56035275,54150,0.1
BHEL,83595750,189000,0.2
BIOCON,48657500,397500,0.8
BLUESTARCO,3147300,2275,0.1
BOSCHLTD,210850,-975,-0.5
BPCL,42521750,306125,0.7
BRITANNIA,1952750,-45125,-2.3
BSE,8846000,70400,0.8
CAMS,7534725,414150,5.8
CANBK,406552500,-6210000,-1.5
CDSL,11239925,714162,6.8
CGPOWER,21748950,454750,2.1
CHOLAFIN,16073750,441250,2.8
CIPLA,10949275,-391850,-3.5
COALINDIA,84203550,-2029050,-2.4
COCHINSHIP,5534800,-185600,-3.2
COFORGE,13899450,-172425,-1.2
COLPAL,5022325,45925,0.9
CONCOR,21987500,-345000,-1.5
CROMPTON,60462300,531050,0.9
CUMMINSIND,4319800,28000,0.7
DABUR,31635000,-538750,-1.7
DALBHARAT,3782350,-64675,-1.7
DELHIVERY,28058150,819625,3.0
