date,sym,exp,dte,call,spot,em,trend
2026-07-27,NIFTY,2026-07-28,1,GREEN - EXPIRY PIN (half size),23995.95,125.9,-1
2026-07-27,NIFTY,2026-08-04,8,GREEN - DEBIT DIRECTIONAL,23995.95,328.2,-1
2026-07-27,BANKNIFTY,2026-07-28,1,GREEN - EXPIRY PIN (half size),57087.2,379.15,-1
2026-07-27,BANKNIFTY,2026-08-25,29,GREEN - DEBIT DIRECTIONAL,57087.2,1842.05,-1
2026-07-28,NIFTY,2026-07-28,0,GREEN - EXPIRY PIN (half size),23985.35,28.15,-1
2026-07-28,NIFTY,2026-08-04,7,STAND ASIDE,23985.35,295.0,-1
2026-07-28,BANKNIFTY,2026-07-28,0,GREEN - EXPIRY PIN (half size),56755.6,61.25,-1
2026-07-28,BANKNIFTY,2026-08-25,28,STAND ASIDE,56755.6,1816.25,-1
2026-07-29,NIFTY,2026-08-04,6,AMBER - CALENDAR ZONE,24250.2,259.9,1
2026-07-29,NIFTY,2026-08-11,13,STAND ASIDE,24250.2,392.25,1
2026-07-29,BANKNIFTY,2026-08-25,27,GREEN - DEBIT DIRECTIONAL,57205.9,1671.5,-1
2026-07-29,BANKNIFTY,2026-09-29,62,GREEN - DEBIT DIRECTIONAL,57205.9,2522.85,-1
2026-07-30,NIFTY,2026-08-04,5,AMBER - CALENDAR ZONE,24317.15,219.7,1
2026-07-30,NIFTY,2026-08-11,12,STAND ASIDE,24317.15,370.15,1
2026-07-30,BANKNIFTY,2026-08-25,26,STAND ASIDE,57147.5,1632.55,-1
2026-07-30,BANKNIFTY,2026-09-29,61,STAND ASIDE,57147.5,2513.55,-1
2026-07-31,NIFTY,2026-08-04,4,AMBER - CALENDAR ZONE,24383.6,172.3,1
2026-07-31,NIFTY,2026-08-11,11,AMBER - CALENDAR ZONE,24383.6,333.8,1
2026-07-31,BANKNIFTY,2026-08-25,25,GREEN - DEBIT DIRECTIONAL,57264.85,1507.15,-1
2026-07-31,BANKNIFTY,2026-09-29,60,GREEN - DEBIT DIRECTIONAL,57264.85,2392.45,-1
